chrom	start	end	summit	qval	signal
chr8	142777203	142777304	142777253	4.35982	251.67966
chr14	24114744	24114845	24114794	4.35982	247.51815
chr14	23636317	23636418	23636367	4.35982	243.81226
chr14	91510308	91510409	91510358	4.35982	235.62518
chr2	26757998	26758099	26758048	4.35982	206.56731
chr20	34824538	34824639	34824588	4.35982	185.52403
chr2	219387955	219388056	219388005	4.35982	183.42813
chr19	2619241	2619342	2619291	4.35982	180.68013
chr14	22982643	22982744	22982693	4.35982	153.55121
chr20	761094	761195	761144	4.35982	152.81246
chr5	32585454	32585555	32585504	4.35982	150.93584
chr16	30957195	30957296	30957245	4.35982	149.78404
chr14	23306667	23306768	23306717	4.35982	148.98836
chr20	3820725	3820826	3820775	4.35982	146.69299
chr19	6111475	6111576	6111525	4.35982	145.76792
chr12	56126289	56126390	56126339	4.35982	144.91254
chrX	1452949	1453050	1452999	4.35982	144.71453
chr17	41688737	41688838	41688787	4.35982	142.19816
chr19	3022892	3022993	3022942	4.35982	139.48503
chr16	31180088	31180189	31180138	4.35982	138.92508
chr19	5791211	5791312	5791261	4.35982	136.84698
chr4	77076058	77076159	77076108	4.35982	129.68013
chr1	1919657	1919758	1919707	4.35982	128.71741
chr20	43590843	43590944	43590893	4.35982	125.17375
chr20	49046199	49046300	49046249	4.35982	124.5976
chr17	5282136	5282237	5282186	4.35982	124.39559
chr19	8321377	8321478	8321427	4.35982	123.11465
chr6	35731470	35731571	35731520	4.35982	121.98354
chr14	24136064	24136165	24136114	4.35982	120.47908
chr14	24093991	24094092	24094041	4.35982	119.68065
chr17	7484229	7484330	7484279	4.35982	119.22335
chr20	38343393	38343494	38343443	4.35982	118.3565
chr2	240566465	240566566	240566515	4.35982	117.96349
chr3	52409980	52410081	52410030	4.35982	114.48372
chr6	30556514	30556615	30556564	4.35982	114.34598
chr20	47493528	47493629	47493578	4.35982	114.27051
chr1	228174253	228174354	228174303	4.35982	112.9586
chr2	70142649	70142750	70142699	4.35982	112.08228
chr3	100260702	100260803	100260752	4.35982	111.7962
chr17	68463092	68463193	68463142	4.35982	111.56686
chr13	113725194	113725295	113725244	4.35982	111.35227
chr16	30370639	30370740	30370689	4.35982	110.24177
chr19	40750491	40750592	40750541	4.35982	109.44547
chr14	24147390	24147491	24147440	4.35982	109.18837
chr2	85539145	85539246	85539195	4.35982	108.26681
chr6	10719644	10719745	10719694	4.35982	107.89519
chr6	146985298	146985399	146985348	4.35982	107.06419
chr3	10164749	10164850	10164799	4.35982	105.59241
chr14	23301523	23301624	23301573	4.35982	105.30927
chr7	100429264	100429365	100429314	4.35982	105.27323
chr9	128068004	128068105	128068054	4.35982	105.08173
chr14	44897766	44897867	44897816	4.35982	104.7837
chr10	133309300	133309401	133309350	4.35982	103.94604
chrX	136497179	136497280	136497229	4.35982	103.86948
chr7	151062374	151062475	151062424	4.35982	103.15889
chr17	67366590	67366691	67366640	4.35982	102.9277
chr8	100722118	100722219	100722168	4.35982	102.83393
chr14	24141676	24141777	24141726	4.35982	102.75178
chr14	76784933	76785034	76784983	4.35982	102.74676
chr16	97068	97169	97118	4.35982	102.43243
chr6	30914220	30914321	30914270	4.35982	102.24563
chr21	46635979	46636080	46636029	4.35982	102.19386
chr19	44954935	44955036	44954985	4.35982	102.18678
chr14	24146734	24146835	24146784	4.35982	101.94412
chr19	47438951	47439052	47439001	4.35982	100.97802
chr14	34982580	34982681	34982630	4.35982	100.67286
chr22	36506821	36506922	36506871	4.35982	100.32394
chr12	54214818	54214919	54214868	4.35982	100.19627
chr19	11597327	11597428	11597377	4.35982	99.91177
chr20	49219248	49219349	49219298	4.35982	98.03154
chr7	100119317	100119418	100119367	4.35982	97.83953
chr1	150977427	150977528	150977477	4.35982	97.49324
chr17	81119724	81119825	81119774	4.35982	97.11181
chr19	40603888	40603989	40603938	4.35982	96.79601
chr2	126886418	126886519	126886468	4.35982	95.61641
chr13	112942821	112942922	112942871	4.35982	95.24883
chr16	1089923	1090024	1089973	4.35982	95.1442
chr20	63627121	63627222	63627171	4.35982	95.03531
chr2	241701396	241701497	241701446	4.35982	94.94139
chr1	32351078	32351179	32351128	4.35982	94.44545
chr20	62915127	62915228	62915177	4.35982	94.32045
chr19	54190130	54190231	54190180	4.35982	94.19542
chr1	6075924	6076025	6075974	4.35982	93.33341
chr17	49678051	49678152	49678101	4.35982	93.24978
chr17	38752487	38752588	38752537	4.35982	92.6538
chr20	46363968	46364069	46364018	4.35982	92.3028
chr2	224585531	224585632	224585581	4.35982	91.7776
chr17	47189500	47189601	47189550	4.35982	91.12245
chr17	80575474	80575575	80575524	4.35982	90.80735
