chrom	start	end	summit	qval	signal
chr15	90994520	90994621	90994570	3.96052	810.6596
chr3	15601611	15601712	15601661	3.96052	723.39437
chr15	90352137	90352238	90352187	3.96052	677.48029
chr20	17682307	17682408	17682357	3.96052	664.86721
chr7	38178086	38178187	38178136	3.96052	663.00403
chr2	241149430	241149531	241149480	3.96052	645.42474
chr22	42079943	42080044	42079993	3.96052	639.71852
chr3	38165209	38165310	38165259	3.96052	627.45599
chr14	23469426	23469527	23469476	3.96052	624.69474
chr19	57499782	57499883	57499832	3.96052	620.5362
chr14	49620656	49620757	49620706	3.96052	613.45566
chr11	65615461	65615562	65615511	3.96052	611.82185
chr19	14419373	14419474	14419423	3.96052	605.29465
chr3	149813126	149813227	149813176	3.96052	603.73808
chr6	79537465	79537566	79537515	3.96052	602.48856
chr4	183659196	183659297	183659246	3.96052	601.7703
chr8	144104405	144104506	144104455	3.96052	600.99511
chr5	150758673	150758774	150758723	3.96052	600.98731
chr19	38930790	38930891	38930840	3.96052	591.76248
chr16	3264604	3264705	3264654	3.96052	591.1559
chr1	28236028	28236129	28236078	3.96052	586.1286
chr4	88284655	88284756	88284705	3.96052	583.95046
chr1	153727795	153727896	153727845	3.96052	582.89616
chr9	130712702	130712803	130712752	3.96052	581.17398
chr1	23344375	23344476	23344425	3.96052	580.91383
chr6	52664295	52664396	52664345	3.96052	577.63753
chr3	45842152	45842253	45842202	3.96052	576.31093
chr19	2841344	2841445	2841394	3.96052	576.13224
chr2	61538365	61538466	61538415	3.96052	575.91804
chr3	107522840	107522941	107522890	3.96052	574.30756
chr1	44355261	44355362	44355311	3.96052	574.27635
chr19	7829881	7829982	7829931	3.96052	570.73285
chr19	1041070	1041171	1041120	3.96052	570.45265
chr6	30717321	30717422	30717371	3.96052	558.76497
chr10	101031151	101031252	101031201	3.96052	558.30229
chr19	52189891	52189992	52189941	3.96052	556.53515
chr5	83077425	83077526	83077475	3.96052	556.28331
chr4	2262153	2262254	2262203	3.96052	553.87692
chr11	106077325	106077426	106077375	3.96052	553.33798
chr15	68820904	68821005	68820954	3.96052	552.08799
chr5	96808356	96808457	96808406	3.96052	550.42348
chr1	236795183	236795284	236795233	3.96052	550.39278
chrX	47561103	47561204	47561153	3.96052	548.10963
chr12	51239152	51239253	51239202	3.96052	545.67195
chr20	35539887	35539988	35539937	3.96052	542.09767
chr12	14803512	14803613	14803562	3.96052	539.60053
chr7	133252920	133253021	133252970	3.96052	539.55264
chr9	93453583	93453684	93453633	3.96052	523.09503
chr17	47896096	47896197	47896146	3.96052	522.06903
chr7	30504863	30504964	30504913	3.96052	519.25028
chr2	197804474	197804575	197804524	3.96052	516.97774
chr1	23368394	23368495	23368444	3.96052	514.91333
